state,domain,reporting_program,measure_name,measure_abbreviation,measure_description,ffy,population,methodology,state_rate,number_of_states_reporting,median,25th_percentile,75th_percentile,notes,source,expansion_status
New Hampshire,Behavioral Health Care,Adult Core Set,Antidepressant Medication Management,AMM-AD,Percentage Treated with Antidepressant Medication for 6 Months: 18-64,2015,Medicaid & Dual Eligibles,Administrative,33.5,29,33.7,29.4,37.2,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,3
Alabama,Behavioral Health Care,Adult Core Set,Adherence to Antipsychotics for Individuals with Schizophrenia,SAA-AD,Percentage with Schizophrenia who Remained on Antipsychotic Medication: 19-64,2015,Medicaid,Administrative,58.1,25,62.4,58.1,68.7,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,4
Oregon,Behavioral Health Care,Adult Core Set,Initiation and Engagement of Alcohol and Other Drug Dependence Treatment,IET-AD,Percentage with Alcohol or Drug Dependence who Initiated Treatment: 18-64,2015,Medicaid & CHIP & Dual Eligibles,Administrative,39.1,26,37.1,32.2,42.4,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,2
Mississippi,Behavioral Health Care,Adult Core Set,Antidepressant Medication Management,AMM-AD,Percentage Treated with Antidepressant Medication for 12 Weeks: 18-64,2015,Medicaid,Administrative,48.8,29,48.6,44.1,51.9,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,4
South Carolina,Behavioral Health Care,Adult Core Set,Medical Assistance With Smoking and Tobacco Use Cessation,MSC-AD,Percentage of Tobacco Users Advised to Quit,2015,Medicaid & Dual Eligibles,NAM CAHPS,70.8,47,73.7,71.6,77.0,,"2014 – 2015 Nationwide Adult Medicaid Consumer Assessment of Healthcare Providers and Systems (NAM CAHPS) survey, conducted by the Center for Medicaid and CHIP Services (CMCS).",4
Colorado,Behavioral Health Care,Adult Core Set,Adherence to Antipsychotics for Individuals with Schizophrenia,SAA-AD,Percentage with Schizophrenia who Remained on Antipsychotic Medication: 19-64,2015,Medicaid & Dual Eligibles,Administrative,65.7,25,62.4,58.1,68.7,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,2
Pennsylvania,Behavioral Health Care,Adult Core Set,Follow-Up After Hospitalization for Mental Illness,FUH-AD,Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit within 30 Days: 21-64,2015,Medicaid,Administrative,64.2,30,57.3,45.6,69.1,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,3
Louisiana,Behavioral Health Care,Adult Core Set,Antidepressant Medication Management,AMM-AD,Percentage Treated with Antidepressant Medication for 6 Months: 18-64,2015,Medicaid & CHIP,Administrative,27.8,29,33.7,29.4,37.2,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,3
Minnesota,Care of Acute and Chronic Conditions,Adult Core Set,Comprehensive Diabetes Care: Hemoglobin A1c Testing,HA1C-AD,Percentage with Diabetes (Type 1 or Type 2) Who Had a Hemoglobin A1c (HbA1c) Test: 18-64,2015,Medicaid & Dual Eligibles,Administrative,87.8,37,81.9,77.6,85.2,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,1
New Mexico,Care of Acute and Chronic Conditions,Adult Core Set,Comprehensive Diabetes Care: Hemoglobin A1c Testing,HA1C-AD,Percentage with Diabetes (Type 1 or Type 2) Who Had a Hemoglobin A1c (HbA1c) Test: 18-64,2015,Medicaid,Administrative,63.1,37,81.9,77.6,85.2,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,2
Texas,Behavioral Health Care,Adult Core Set,Medical Assistance With Smoking and Tobacco Use Cessation,MSC-AD,Percentage of Tobacco Users Discussed Cessation Medications,2015,Medicaid & Dual Eligibles,NAM CAHPS,32.7,47,42.9,39.4,47.8,,"2014 – 2015 Nationwide Adult Medicaid Consumer Assessment of Healthcare Providers and Systems (NAM CAHPS) survey, conducted by the Center for Medicaid and CHIP Services (CMCS).",4
Massachusetts,Behavioral Health Care,Adult Core Set,Initiation and Engagement of Alcohol and Other Drug Dependence Treatment,IET-AD,Percentage with Alcohol or Drug Dependence who Initiated Treatment: 18-64,2015,Medicaid,Administrative,44.8,26,37.1,32.2,42.4,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,2
Michigan,Primary Care Access and Preventive Care,Adult Core Set,Adult Body Mass Index Assessment,ABA-AD,Percentage with a BMI Percentile Documented: 18-64,2015,Medicaid,Administrative,28.7,29,76.6,9.7,82.8,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,3
South Carolina,Behavioral Health Care,Adult Core Set,Adherence to Antipsychotics for Individuals with Schizophrenia,SAA-AD,Percentage with Schizophrenia who Remained on Antipsychotic Medication: 19-64,2015,Medicaid,Administrative,62.4,25,62.4,58.1,68.7,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,4
Connecticut,Primary Care Access and Preventive Care,Adult Core Set,Cervical Cancer Screening,CCS-AD,Percentage Screened for Cervical Cancer: 21-64,2015,Medicaid,Hybrid,66.1,36,56.0,45.2,62.5,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,1
Texas,Behavioral Health Care,Adult Core Set,Follow-Up After Hospitalization for Mental Illness,FUH-AD,Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit within 7 Days: 21-64,2015,Medicaid,Administrative,36.5,30,37.7,30.9,56.1,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,4
North Carolina,Behavioral Health Care,Adult Core Set,Antidepressant Medication Management,AMM-AD,Percentage Treated with Antidepressant Medication for 12 Weeks: 18-64,2015,Medicaid,Administrative,44.5,29,48.6,44.1,51.9,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,4
Alabama,Behavioral Health Care,Adult Core Set,Medical Assistance With Smoking and Tobacco Use Cessation,MSC-AD,Percentage of Tobacco Users Advised to Quit,2015,Medicaid & Dual Eligibles,NAM CAHPS,74.6,47,73.7,71.6,77.0,,"2014 – 2015 Nationwide Adult Medicaid Consumer Assessment of Healthcare Providers and Systems (NAM CAHPS) survey, conducted by the Center for Medicaid and CHIP Services (CMCS).",4
Montana,Care of Acute and Chronic Conditions,Adult Core Set,Annual Monitoring for Patients on Persistent Medications,MPM-AD,Percentage Who Received At Least 180 Treatment Days of Ambulatory Medication Therapy and Annual Monitoring: 18-64,2015,Medicaid & Dual Eligibles,Administrative,80.3,32,85.6,82.8,88.3,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,3
Iowa,Behavioral Health Care,Adult Core Set,Antidepressant Medication Management,AMM-AD,Percentage Treated with Antidepressant Medication for 12 Weeks: 18-64,2015,Medicaid & Dual Eligibles,Administrative,37.9,29,48.6,44.1,51.9,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,2
Delaware,Behavioral Health Care,Adult Core Set,Follow-Up After Hospitalization for Mental Illness,FUH-AD,Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit within 30 Days: 21-64,2015,Medicaid & Dual Eligibles,Administrative,69.1,30,57.3,45.6,69.1,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,2
Oklahoma,Behavioral Health Care,Adult Core Set,Medical Assistance With Smoking and Tobacco Use Cessation,MSC-AD,Percentage of Tobacco Users Discussed Cessation Medications,2015,Medicaid & Dual Eligibles,NAM CAHPS,44.1,47,42.9,39.4,47.8,,"2014 – 2015 Nationwide Adult Medicaid Consumer Assessment of Healthcare Providers and Systems (NAM CAHPS) survey, conducted by the Center for Medicaid and CHIP Services (CMCS).",4
Illinois,Behavioral Health Care,Adult Core Set,Antidepressant Medication Management,AMM-AD,Percentage Treated with Antidepressant Medication for 6 Months: 18-64,2015,Medicaid & CHIP,Administrative,19.6,29,33.7,29.4,37.2,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,2
Montana,Primary Care Access and Preventive Care,Adult Core Set,Chlamydia Screening in Women,CHL-AD,Percentage of Sexually Active Women Screened for Chlamydia: 21-24,2015,Medicaid & Dual Eligibles,Administrative,68.2,35,57.1,54.5,64.5,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,3
Maryland,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening,BCS-AD,Percentage of Women Receiving Mammogram: 50-64,2015,Medicaid & CHIP,Administrative,63.5,33,51.5,45.2,56.3,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,2
Connecticut,Behavioral Health Care,Adult Core Set,Adherence to Antipsychotics for Individuals with Schizophrenia,SAA-AD,Percentage with Schizophrenia who Remained on Antipsychotic Medication: 19-64,2015,Medicaid,Administrative,68.7,25,62.4,58.1,68.7,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,1
Louisiana,Primary Care Access and Preventive Care,Adult Core Set,Chlamydia Screening in Women,CHL-AD,Percentage of Sexually Active Women Screened for Chlamydia: 21-24,2015,Medicaid,Administrative,62.2,35,57.1,54.5,64.5,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,3
New York,Maternal and Perinatal Health,Adult Core Set,Postpartum Care Rate,PPC-AD,Percentage of Deliveries of Live Births with a Postpartum Visit on or Between 21 to 56 Days After Delivery,2015,Medicaid & CHIP,Hybrid,69.2,34,57.8,49.5,63.3,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,2
Alabama,Primary Care Access and Preventive Care,Adult Core Set,Adult Body Mass Index Assessment,ABA-AD,Percentage with a BMI Percentile Documented: 18-64,2015,Medicaid,Administrative,7.2,29,76.6,9.7,82.8,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,4
North Carolina,Behavioral Health Care,Adult Core Set,Medical Assistance With Smoking and Tobacco Use Cessation,MSC-AD,Percentage of Tobacco Users Discussed Cessation Medications,2015,Medicaid & Dual Eligibles,NAM CAHPS,46.2,47,42.9,39.4,47.8,,"2014 – 2015 Nationwide Adult Medicaid Consumer Assessment of Healthcare Providers and Systems (NAM CAHPS) survey, conducted by the Center for Medicaid and CHIP Services (CMCS).",4
Illinois,Behavioral Health Care,Adult Core Set,Medical Assistance With Smoking and Tobacco Use Cessation,MSC-AD,Percentage of Tobacco Users Advised to Quit,2015,Medicaid & Dual Eligibles,NAM CAHPS,73.3,47,73.7,71.6,77.0,,"2014 – 2015 Nationwide Adult Medicaid Consumer Assessment of Healthcare Providers and Systems (NAM CAHPS) survey, conducted by the Center for Medicaid and CHIP Services (CMCS).",2
Kentucky,Primary Care Access and Preventive Care,Adult Core Set,Adult Body Mass Index Assessment,ABA-AD,Percentage with a BMI Percentile Documented: 18-64,2015,Medicaid & Dual Eligibles,Hybrid,88.7,29,76.6,9.7,82.8,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,2
California,Care of Acute and Chronic Conditions,Adult Core Set,Comprehensive Diabetes Care: Hemoglobin A1c Testing,HA1C-AD,Percentage with Diabetes (Type 1 or Type 2) Who Had a Hemoglobin A1c (HbA1c) Test: 18-64,2015,Medicaid,Administrative & Hybrid,82.7,37,81.9,77.6,85.2,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,1
Rhode Island,Primary Care Access and Preventive Care,Adult Core Set,Adult Body Mass Index Assessment,ABA-AD,Percentage with a BMI Percentile Documented: 18-64,2015,Medicaid & CHIP,Hybrid,91.4,29,76.6,9.7,82.8,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,2
Tennessee,Behavioral Health Care,Adult Core Set,Medical Assistance With Smoking and Tobacco Use Cessation,MSC-AD,Percentage of Tobacco Users Discussed Cessation Strategies,2015,Medicaid & Dual Eligibles,NAM CAHPS,32.6,47,37.8,34.4,42.9,,"2014 – 2015 Nationwide Adult Medicaid Consumer Assessment of Healthcare Providers and Systems (NAM CAHPS) survey, conducted by the Center for Medicaid and CHIP Services (CMCS).",4
New Hampshire,Behavioral Health Care,Adult Core Set,Initiation and Engagement of Alcohol and Other Drug Dependence Treatment,IET-AD,Percentage with Alcohol or Drug Dependence who Initiated and Engaged in Treatment: 18-64,2015,Medicaid & Dual Eligibles,Administrative,20.3,26,14.7,6.9,20.1,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,3
Kentucky,Behavioral Health Care,Adult Core Set,Antidepressant Medication Management,AMM-AD,Percentage Treated with Antidepressant Medication for 12 Weeks: 18-64,2015,Medicaid & Dual Eligibles,Administrative,58.3,29,48.6,44.1,51.9,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,2
Pennsylvania,Primary Care Access and Preventive Care,Adult Core Set,Chlamydia Screening in Women,CHL-AD,Percentage of Sexually Active Women Screened for Chlamydia: 21-24,2015,Medicaid,Administrative,64.2,35,57.1,54.5,64.5,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,3
Colorado,Behavioral Health Care,Adult Core Set,Medical Assistance With Smoking and Tobacco Use Cessation,MSC-AD,Percentage of Tobacco Users Discussed Cessation Strategies,2015,Medicaid & Dual Eligibles,NAM CAHPS,43.2,47,37.8,34.4,42.9,,"2014 – 2015 Nationwide Adult Medicaid Consumer Assessment of Healthcare Providers and Systems (NAM CAHPS) survey, conducted by the Center for Medicaid and CHIP Services (CMCS).",2
Nebraska,Behavioral Health Care,Adult Core Set,Medical Assistance With Smoking and Tobacco Use Cessation,MSC-AD,Percentage of Tobacco Users Discussed Cessation Strategies,2015,Medicaid & Dual Eligibles,NAM CAHPS,35.6,47,37.8,34.4,42.9,,"2014 – 2015 Nationwide Adult Medicaid Consumer Assessment of Healthcare Providers and Systems (NAM CAHPS) survey, conducted by the Center for Medicaid and CHIP Services (CMCS).",4
New Mexico,Behavioral Health Care,Adult Core Set,Medical Assistance With Smoking and Tobacco Use Cessation,MSC-AD,Percentage of Tobacco Users Advised to Quit,2015,Medicaid & Dual Eligibles,NAM CAHPS,64.8,47,73.7,71.6,77.0,,"2014 – 2015 Nationwide Adult Medicaid Consumer Assessment of Healthcare Providers and Systems (NAM CAHPS) survey, conducted by the Center for Medicaid and CHIP Services (CMCS).",2
Mississippi,Behavioral Health Care,Adult Core Set,Initiation and Engagement of Alcohol and Other Drug Dependence Treatment,IET-AD,Percentage with Alcohol or Drug Dependence who Initiated and Engaged in Treatment: 18-64,2015,Medicaid,Administrative,4.9,26,14.7,6.9,20.1,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,4
Missouri,Behavioral Health Care,Adult Core Set,Antidepressant Medication Management,AMM-AD,Percentage Treated with Antidepressant Medication for 12 Weeks: 18-64,2015,Medicaid & CHIP,Administrative,43.0,29,48.6,44.1,51.9,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,4
New Jersey,Primary Care Access and Preventive Care,Adult Core Set,Chlamydia Screening in Women,CHL-AD,Percentage of Sexually Active Women Screened for Chlamydia: 21-24,2015,Medicaid & CHIP,Administrative,55.7,35,57.1,54.5,64.5,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,1
Georgia,Behavioral Health Care,Adult Core Set,Medical Assistance With Smoking and Tobacco Use Cessation,MSC-AD,Percentage of Tobacco Users Discussed Cessation Medications,2015,Medicaid & Dual Eligibles,NAM CAHPS,38.2,47,42.9,39.4,47.8,,"2014 – 2015 Nationwide Adult Medicaid Consumer Assessment of Healthcare Providers and Systems (NAM CAHPS) survey, conducted by the Center for Medicaid and CHIP Services (CMCS).",4
Rhode Island,Behavioral Health Care,Adult Core Set,Medical Assistance With Smoking and Tobacco Use Cessation,MSC-AD,Percentage of Tobacco Users Advised to Quit,2015,Medicaid & Dual Eligibles,NAM CAHPS,81.3,47,73.7,71.6,77.0,,"2014 – 2015 Nationwide Adult Medicaid Consumer Assessment of Healthcare Providers and Systems (NAM CAHPS) survey, conducted by the Center for Medicaid and CHIP Services (CMCS).",2
Maryland,Care of Acute and Chronic Conditions,Adult Core Set,Annual Monitoring for Patients on Persistent Medications,MPM-AD,Percentage Who Received At Least 180 Treatment Days of Ambulatory Medication Therapy and Annual Monitoring: 18-64,2015,Medicaid & CHIP,Administrative,88.6,32,85.6,82.8,88.3,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,2
Delaware,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening,BCS-AD,Percentage of Women Receiving Mammogram: 50-64,2015,Medicaid & Dual Eligibles,Administrative,47.0,33,51.5,45.2,56.3,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,2
Illinois,Care of Acute and Chronic Conditions,Adult Core Set,Comprehensive Diabetes Care: Hemoglobin A1c Testing,HA1C-AD,Percentage with Diabetes (Type 1 or Type 2) Who Had a Hemoglobin A1c (HbA1c) Test: 18-64,2015,Medicaid & CHIP,Administrative,79.7,37,81.9,77.6,85.2,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,2
Texas,Care of Acute and Chronic Conditions,Adult Core Set,Comprehensive Diabetes Care: Hemoglobin A1c Testing,HA1C-AD,Percentage with Diabetes (Type 1 or Type 2) Who Had a Hemoglobin A1c (HbA1c) Test: 18-64,2015,Medicaid,Hybrid,86.2,37,81.9,77.6,85.2,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,4
South Carolina,Care of Acute and Chronic Conditions,Adult Core Set,Annual Monitoring for Patients on Persistent Medications,MPM-AD,Percentage Who Received At Least 180 Treatment Days of Ambulatory Medication Therapy and Annual Monitoring: 18-64,2015,Medicaid,Administrative,82.9,32,85.6,82.8,88.3,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,4
Mississippi,Behavioral Health Care,Adult Core Set,Medical Assistance With Smoking and Tobacco Use Cessation,MSC-AD,Percentage of Tobacco Users Discussed Cessation Medications,2015,Medicaid & Dual Eligibles,NAM CAHPS,41.3,47,42.9,39.4,47.8,,"2014 – 2015 Nationwide Adult Medicaid Consumer Assessment of Healthcare Providers and Systems (NAM CAHPS) survey, conducted by the Center for Medicaid and CHIP Services (CMCS).",4
South Dakota,Behavioral Health Care,Adult Core Set,Medical Assistance With Smoking and Tobacco Use Cessation,MSC-AD,Percentage of Tobacco Users Discussed Cessation Strategies,2015,Medicaid & Dual Eligibles,NAM CAHPS,38.2,47,37.8,34.4,42.9,,"2014 – 2015 Nationwide Adult Medicaid Consumer Assessment of Healthcare Providers and Systems (NAM CAHPS) survey, conducted by the Center for Medicaid and CHIP Services (CMCS).",4
Maryland,Primary Care Access and Preventive Care,Adult Core Set,Cervical Cancer Screening,CCS-AD,Percentage Screened for Cervical Cancer: 21-64,2015,Medicaid & CHIP,Hybrid,61.5,36,56.0,45.2,62.5,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,2
Idaho,Behavioral Health Care,Adult Core Set,Medical Assistance With Smoking and Tobacco Use Cessation,MSC-AD,Percentage of Tobacco Users Advised to Quit,2015,Medicaid & Dual Eligibles,NAM CAHPS,72.2,47,73.7,71.6,77.0,,"2014 – 2015 Nationwide Adult Medicaid Consumer Assessment of Healthcare Providers and Systems (NAM CAHPS) survey, conducted by the Center for Medicaid and CHIP Services (CMCS).",4
Kentucky,Behavioral Health Care,Adult Core Set,Initiation and Engagement of Alcohol and Other Drug Dependence Treatment,IET-AD,Percentage with Alcohol or Drug Dependence who Initiated Treatment: 18-64,2015,Medicaid & Dual Eligibles,Administrative,31.7,26,37.1,32.2,42.4,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,2
Iowa,Maternal and Perinatal Health,Adult Core Set,Postpartum Care Rate,PPC-AD,Percentage of Deliveries of Live Births with a Postpartum Visit on or Between 21 to 56 Days After Delivery,2015,Medicaid & Dual Eligibles,Administrative,31.8,34,57.8,49.5,63.3,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,2
Nebraska,Primary Care Access and Preventive Care,Adult Core Set,Chlamydia Screening in Women,CHL-AD,Percentage of Sexually Active Women Screened for Chlamydia: 21-24,2015,Medicaid & Dual Eligibles,Administrative,39.0,35,57.1,54.5,64.5,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,4
Maryland,Primary Care Access and Preventive Care,Adult Core Set,Chlamydia Screening in Women,CHL-AD,Percentage of Sexually Active Women Screened for Chlamydia: 21-24,2015,Medicaid & CHIP,Administrative,67.6,35,57.1,54.5,64.5,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,2
Missouri,Primary Care Access and Preventive Care,Adult Core Set,Adult Body Mass Index Assessment,ABA-AD,Percentage with a BMI Percentile Documented: 18-64,2015,Medicaid & CHIP,Administrative,9.4,29,76.6,9.7,82.8,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,4
Oklahoma,Primary Care Access and Preventive Care,Adult Core Set,Adult Body Mass Index Assessment,ABA-AD,Percentage with a BMI Percentile Documented: 18-64,2015,Medicaid & Dual Eligibles,Administrative,10.6,29,76.6,9.7,82.8,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,4
Rhode Island,Behavioral Health Care,Adult Core Set,Adherence to Antipsychotics for Individuals with Schizophrenia,SAA-AD,Percentage with Schizophrenia who Remained on Antipsychotic Medication: 19-64,2015,Medicaid & CHIP,Administrative,68.0,25,62.4,58.1,68.7,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,2
Indiana,Behavioral Health Care,Adult Core Set,Medical Assistance With Smoking and Tobacco Use Cessation,MSC-AD,Percentage of Tobacco Users Discussed Cessation Medications,2015,Medicaid & Dual Eligibles,NAM CAHPS,47.8,47,42.9,39.4,47.8,,"2014 – 2015 Nationwide Adult Medicaid Consumer Assessment of Healthcare Providers and Systems (NAM CAHPS) survey, conducted by the Center for Medicaid and CHIP Services (CMCS).",3
Montana,Behavioral Health Care,Adult Core Set,Medical Assistance With Smoking and Tobacco Use Cessation,MSC-AD,Percentage of Tobacco Users Advised to Quit,2015,Medicaid & Dual Eligibles,NAM CAHPS,72.3,47,73.7,71.6,77.0,,"2014 – 2015 Nationwide Adult Medicaid Consumer Assessment of Healthcare Providers and Systems (NAM CAHPS) survey, conducted by the Center for Medicaid and CHIP Services (CMCS).",3
New Jersey,Maternal and Perinatal Health,Adult Core Set,Postpartum Care Rate,PPC-AD,Percentage of Deliveries of Live Births with a Postpartum Visit on or Between 21 to 56 Days After Delivery,2015,Medicaid & CHIP,Hybrid,57.6,34,57.8,49.5,63.3,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,1
Tennessee,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening,BCS-AD,Percentage of Women Receiving Mammogram: 50-64,2015,Medicaid,Administrative,54.1,33,51.5,45.2,56.3,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,4
