Features,Program type,Statewide or region-specific?,Federal operating authority,Program start date,Waiver expiration date (if applicable),"If the program ended in 2018, indicate the end date",Populations enrolled: Low-income adults not covered under ACA Section VIII (excludes pregnant women and people with disabilities),Populations enrolled: Low-income adults covered under  ACA Section VIII (excludes pregnant women and people with disabilities),"Populations enrolled: Aged, Blind or Disabled Children or Adults",Populations enrolled: Non-Disabled Children (excludes children in foster care or receiving adoption assistance),Populations enrolled: Individuals receiving Limited Benefits (excludes partial duals),Populations enrolled: Full Duals,Populations enrolled: Partial Duals,Populations enrolled: Children with Special Health Care Needs,Populations enrolled: Native American/Alaskan Natives,Populations enrolled: Foster Care and Adoption Assistance Children,Populations enrolled: Enrollment choice period,Populations enrolled: Enrollment broker name (if applicable),Populations enrolled: Notes on enrollment choice period,Benefits covered: Inpatient hospital physical health,Benefits covered: Inpatient hospital behavioral health (MH and/or SUD),Benefits covered: Outpatient hospital physical health,Benefits covered: Outpatient hospital behavioral health (MH and/or SUD),Benefits covered: Partial hospitalization,Benefits covered: Physician,Benefits covered: Nurse practitioner,Benefits covered: Rural health clinics and FQHCs,Benefits covered: Clinic services,Benefits covered: Lab and x-ray,Benefits covered: Prescription drugs,Benefits covered: Prosthetic devices,Benefits covered: EPSDT,Benefits covered: Case management,Benefits covered: SSA Section 1945-authorized health home,Benefits covered: Health home care (services in home),Benefits covered: Family planning,Benefits covered: Dental services (medical/surgical),Benefits covered: Dental (preventative or corrective),Benefits covered: Personal care (state plan option),Benefits covered: HCBS waiver services,Benefits covered: Private duty nursing,Benefits covered: ICF-IDD,Benefits covered: Nursing facility services,Benefits covered: Hospice care,Benefits covered: Non-Emergency Medical Transportation,Benefits covered: Institution for Mental Disease inpatient treatment for people ages 21-64 defined by 42 CFR §438.6(e) as an 'in lieu of' benefit,"Benefits covered: Other (e.g., nurse midwife services, freestanding birth centers, podiatry, etc.)",Quality assurance and improvement: HEDIS data required?,Quality assurance and improvement: CAHPS data required?,Quality assurance and improvement: Accreditation required?,Quality assurance and improvement: Accrediting organization,Quality assurance and improvement: EQRO contractor name (if applicable),Performance incentives: Payment bonuses/differentials to reward plans,Performance incentives: Preferential auto-enrollment to reward plans,Performance incentives: Public reports comparing plan performance on key metrics,Performance incentives: Withholds tied to performance metrics,Performance incentives: MCOs/PHPs required or encouraged to pay providers for value/quality outcomes,Participating plans: Plans in Program,Notes: Program notes,state
Positive Healthcare/Los Angeles,Other Prepaid Health Plan (PHP) (limited benefits),Los Angeles,1937 Alt Benefit Plan,04/01/2002 12:00:00 AM,,,Voluntary,Voluntary,,Voluntary,,,,,Voluntary,Voluntary,,,,,,X,,,X,X,X,X,X,X,X,X,X,,,X,,,,,,,,X,X,,,Yes,Yes,No,,,,,,,,Positive Healthcare/Los Angeles,,CA
Family Mosaic Program/San Francisco,Behavioral Health Organization (BHO) only (PIHP and/or PAHP),San Francisco,1915(a),12/01/1992 12:00:00 AM,,,,,,,,,,Voluntary,Voluntary,Voluntary,,,,,,,X,,,X,,X,X,X,X,X,X,,,,,,,,,,,,X,,,Yes,No,No,,,,,,,,Family Mosaic Project/San Francisco,,CA
Health Plan of San Mateo CCS Demo/San Mateo,Comprehensive MCO,San Mateo,1115(a) (Medicaid demonstration waivers),06/01/2012 12:00:00 AM,04/01/2018 12:00:00 AM,04/01/2018 12:00:00 AM,,,,,,,,Mandatory,Exempt,Voluntary,Pre-assigned,,,X,,X,,,X,X,X,X,X,X,X,X,X,,,X,,,,,,,,X,X,,,Yes,No,No,,,,,,,,Health Plan of San Mateo CCS Demo,,CA
County Organized Health Systems (COHS) Model,Comprehensive MCO + MLTSS,"Del Norte, Humboldt, Lake, Lassen, Marin, Medocino, Merced, Modoc, Monterey, Napa, Orange, San Luis Obispo, San Mateo, Santa Barbara, Santa Cruz, Shasta, Siskiyou, Solano, Sonoma, Trinity, Ventura, Yolo",1115(a) (Medicaid demonstration waivers),10/01/1995 12:00:00 AM,12/31/2020 12:00:00 AM,,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Varies,Mandatory,Mandatory,Mandatory,Voluntary,Pre-assigned,,,X,X,X,,,X,X,X,,X,X,X,X,X,,,X,,X,,,,X,X,X,X,,,Yes,Yes,No,,Health Services Advisory Group,,,X,,,CenCal Health/San Luis Obispo; CenCal Health/Santa Barbara; Health Plan of San Mateo; Partnership HealthPlan of CA/Northeast; Partnership HealthPlan of CA/Northwest; Partnership Health Plan/Southeast; Partnership Health Plan/Southwest; Central California Alliance for Health/Merced; Central California Alliance for Health/Monterey Santa Cruz; CalOptima/Orange; Gold Coast Health Plan/Ventura,Full duals are mandatory for managed care enrollment in CCI Counties (Orange and San Mateo) and voluntary for all other Counties.,CA
Two-Plan Model,Comprehensive MCO + MLTSS,"Alameda, Contra Costa, Fresno, Kern, Kings, Los Angeles, Madera, Riverside, San Bernardino, San Francisco, San Joaquin, Santa Clara, Stanislaus, Tulare","1115(a) (Medicaid demonstration waivers),1915(b)/1915(c)",01/01/1996 12:00:00 AM,12/31/2020 12:00:00 AM,,,Mandatory,Mandatory,Mandatory,,Varies,,Voluntary,Voluntary,Voluntary,Other,,Approximately 45 days,X,,X,,,X,X,X,X,X,X,X,X,X,,,X,,,X,X,X,X,X,X,X,,,Yes,Yes,No,,Health Services Advisory Group,,X,X,,,Health Net/Kern; Health Net/Los Angeles; Health Net/San Joaquin; Health Net/Stanislaus; Health Net/Tulare; CalViva Health/Fresno; CalViva Health/Kings; CalViva Health/Madera; Anthem Blue Cross Partnership Plan/Fresno; Anthem Blue Cross Partnership Plan/Kings; Anthem Blue Cross Partnership Plan/Madera; Anthem Blue Cross Partnership Plan/Alameda; Anthem Blue Cross Partnership Plan/Contra Costa; Anthem Blue Cross Partnership Plan/San Francisco; Anthem Blue Cross Partnership Plan/Santa Clara; Anthem Blue Cross Partnership Plan/Tulare; Kern Family Health Care; L.A. Care Health Plan/Los Angeles; Contra Costa Health Plan; Alameda Alliance for Health; Inland Empire Health Plan/Riverside; Inland Empire Health Plan/San Bernardino; Molina Healthcare of CA Partner Plan/Riverside; Molina Healthcare of CA Partner Plan/San Bernardino; San Francisco Health Plan; Health Plan of San Joaquin/San Joaquin; Health Plan of San Joaquin/Stanislaus; Santa Clara Family Health Plan,"Full duals are mandatory for managed care enrollment in CCI Counties (Los Angeles, Riverside, San Bernardino, and Santa Clara) and voluntary for all other counties (Alameda, Contra Costa, Fresno, Kern, Kings, Madera, San Francisco, San Joaquin, Stanislaus and Tulare).",CA
Regional Model,Comprehensive MCO,"Alpine, Amador, Butte, Calaveras, Colusa, El Dorado, Glenn, Imperial, Inyo, Mariposa, Mono, Nevada, Placer, Plumas, San Benito, Sierra, Sutter, Tehama, Tuolumne, Yuba",1115(a) (Medicaid demonstration waivers),10/02/2013 12:00:00 AM,12/31/2020 12:00:00 AM,,Mandatory,Mandatory,Mandatory,Mandatory,,Voluntary,,Voluntary,Voluntary,Voluntary,Other,,Approximately 45 days,X,,X,X,,X,X,X,X,X,X,X,X,X,,,X,,,,,,,,X,X,,,Yes,Yes,No,,Health Services Advisory Group,,X,X,,,California Health &amp; Wellness Plan/Imperial; California Health &amp; Wellness Plan/Region 1; California Health &amp; Wellness Plan/Region 2; Molina Healthcare of CA Partner Plan/Imperial; Anthem Blue Cross Partnership Plan/Region 1; Anthem Blue Cross Partnership Plan/Region 2; KP Cal LLC/Amador; KP Cal LLC/El Dorado; KP Cal LLC/Placer,,CA
Geographic Managed Care (GMC) Model,Comprehensive MCO + MLTSS,"Sacramento, San Diego",1115(a) (Medicaid demonstration waivers),06/01/1991 12:00:00 AM,12/31/2020 12:00:00 AM,,Mandatory,Mandatory,Mandatory,Mandatory,,Varies,,Voluntary,Voluntary,Voluntary,Other,Health Care Options (Maximus),Approximately 45 days,X,,X,X,,X,X,X,X,X,X,X,X,X,,,X,,,X,X,X,X,X,X,X,,,Yes,Yes,No,,Health Services Advisory Group,,X,X,,,Care 1st Partner Plan/San Diego; Community Health Group Partnership Plan/San Diego; Health Net/San Diego; KP Cal LLC/San Diego; Molina Healthcare of CA Partner Plan/San Diego; Aetna Better Health of CA/San Diego; UnitedHealthcare Community Plan/San Diego; Anthem Blue Cross Partnership Plan/Sacramento; Health Net/Sacramento; KP Cal LLC/Sacramento; Molina Healthcare of CA Partner Plan/Sacramento; Aetna Better Health of CA/Sacramento; UnitedHealthcare Community Plan/Sacramento,Full duals are mandatory for managed care enrollment in CCI Counties (San Diego) and voluntary for all other counties (Sacramento).,CA
Senior Care Action Network (SCAN),Comprehensive MCO + MLTSS,"Los Angeles, Riverside, San Bernardino",1115(a) (Medicaid demonstration waivers),01/01/1996 12:00:00 AM,12/31/2020 12:00:00 AM,,,,Voluntary,,,Voluntary,,,Voluntary,Exempt,,,,X,,X,X,X,X,X,X,X,X,X,X,,X,,X,,X,X,X,,,,X,X,X,,,No,No,No,,,,,,,,SCAN Health Plan/Los Angeles; SCAN Health Plan/Riverside; SCAN Health Plan/San Bernardino; SCAN Health Plan (Nurs hm cert)/Los Angeles; SCAN Health Plan (Nurs hm cert)/Riverside; SCAN Health Plan (Nurs hm cert)/San Bernardino,,CA
Program of All-Inclusive Care for the Elderly (PACE),Program of All-inclusive Care for the Elderly (PACE),"Alameda, Contra Costa, Fresno, Humboldt, Los Angeles, Orange, Riverside, Sacramento, San Bernardino, San Diego, San Francisco, Santa Clara",PACE,06/01/1991 12:00:00 AM,,,,,Voluntary,,,Voluntary,Voluntary,,Voluntary,Exempt,N/A,,,X,X,X,X,X,X,X,,X,X,X,X,X,X,,X,X,X,X,X,,,,X,X,X,,,No,No,No,,,,,,,,Redwood Coast Pace/Humboldt; San Diego PACE; St. Paul's PACE/San Diego; Sutter SeniorCare PACE/Sacramento; AltaMed Senior Buenacare/Los Angeles; Brandman Centers for Senior Care/Los Angeles; CalOptima PACE/Orange; Center for Elders Independence/Alameda; Center for Elders Independence/Contra Costa; Fresno PACE; InnovAge PACE/Riverside; InnovAge PACE/San Bernardino County; On Lok Lifeways/Alameda; On Lok Lifeways/Santa Clara; On Lok Lifeways/San Francisco,,CA
Dental Managed Care/Los Angeles,Dental only (PAHP),Los Angeles,1915(a)/1915(i),04/01/1998 12:00:00 AM,12/31/2020 12:00:00 AM,,Voluntary,Voluntary,Voluntary,Voluntary,Voluntary,Voluntary,,Voluntary,Voluntary,Voluntary,60 days,Health Care Operations (Maximus),,,,,,,,,X,,,,,X,X,,,,X,X,,,,,,,X,,,Yes,Yes,No,,,,,X,,,Health Net Dental Plan/Los Angeles; Access Dental Plan/Los Angeles; LIBERTY Dental Plan/Los Angeles,,CA
Dental Managed Care/Sacramento,Dental only (PAHP),Sacramento,1115(a) (Medicaid demonstration waivers),12/01/1998 12:00:00 AM,12/31/2020 12:00:00 AM,,Voluntary,Voluntary,Voluntary,Voluntary,Voluntary,Voluntary,,Voluntary,Voluntary,Voluntary,60 days,Health Care Operations (Maximus),,,,,,,,,X,,,,,X,X,,,,X,X,,,,,,,X,,,Yes,Yes,No,,,,,X,,,Health Net Dental Plan/Sacramento; Access Dental Plan/Sacramento; LIBERTY Dental Plan/Sacramento,,CA
Program of All-Inclusive Care for the Elderly,Program of All-inclusive Care for the Elderly (PACE),"Adams, Arapahoe, Broomfield, Denver, Jefferson, Boulder, Weld (Southwest), Pueblo, El Paso, Delta, Montrose",PACE,10/01/1991 12:00:00 AM,,,,,Voluntary,,,Voluntary,Voluntary,,Voluntary,Exempt,N/A,"Maximus Health Services, Inc.",There is no enrollment period; existing Medicaid members that meet the level of care may apply for PACE at any time. Members are enrolled on the first of the month.,X,X,X,X,X,X,X,,X,X,X,X,,X,,X,,X,X,X,,X,,X,X,X,,"PACE is an all-inclusive program. Some of the other available services include optometry, podiatry, rehabilitative services, adult day health center services, and transportation.",No,No,No,,,,,,,,Rocky Mountain Health Care Services (PACE); Total Longterm Care - Pueblo DBA Innovage Greater Colorado PACE; Total Longterm Care - Innovage Aurora  (PACE); Volunteers of America (VOANS) PACE DBA Senior Community Care; Total Longterm Care - Innovage Loveland (PACE); TRU Community Care; Total Longterm Care - Innovage Lakewood (PACE); Total Longterm Care - Innovage Thornton (PACE),,CO
Accountable Care Collaborative (ACC),Primary Care Case Management Entity (PCCM Entity),Statewide,1915(b),07/01/2018 12:00:00 AM,06/30/2023 12:00:00 AM,,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,,Mandatory,Mandatory,Mandatory,Other,"Maximus Health Services, Inc.",Beneficiaries are passively enrolled and can choose their primary care provider at any time.,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,All members enrolled in ACC are eligible for all 1932(a) state plan benefits. They also get benefits covered under the 1915(b) waiver. All plans are responsible for providing behavioral health benefits under the 1915(b) waiver.,Yes,Yes,No,,"Health Services Advisory Group, Inc.",X,,X,X,X,"RAE 1: Rocky Mountain Health Plans; RAE 2: Northeast Health Partners; RAE 3: Colorado Access; RAE 4: Health Colorado, Inc.; RAE 5: Colorado Access; RAE 6: Colorado Community Health Alliance; RAE 7: Colorado Community Health Alliance",The Accountable Care Collaborative (ACC) program has seven regional plans called Regional Accountable Entities (RAEs). The RAEs operate as both PCCM Entity and PIHP program types. The state pays the RAEs a full-risk capitation payment for behavioral health services under the PIHP authority. The RAEs also get an administrative (not risk-based) per member per month payment for functions performed as a PCCM Entity.,CO
Colorado Medicaid Community Behavioral Health Services Program,Behavioral Health Organization (BHO) only (PIHP and/or PAHP),Statewide,1915(b),07/01/1995 12:00:00 AM,06/30/2019 12:00:00 AM,06/30/2018 12:00:00 AM,Mandatory,Mandatory,Mandatory,Mandatory,,Mandatory,,Mandatory,Mandatory,Mandatory,Pre-assigned,,,,X,,X,X,,,X,X,X,,,X,X,,,,,,,,,,,,,X,,No,No,No,,,X,,,,,"Colorado Health Partnerships; Behavioral Healthcare, Inc.; Foothills Behavioral Health Partners; Access Behavioral Care - Denver; Access Behavioral Care - Northeast","The Colorado Medicaid Community Behavioral Health Services Program contracts with BHOs to arrange for or provide medically necessary mental health services to clients in five service areas. In each area, the program is managed by a different behavioral health organization BHO. Medicaid members are assigned to a BHO based on where they live.",CO
Denver Health Medicaid Choice,Comprehensive MCO,"Denver, Arapahoe, Adams, Jefferson Counties",1915(a),01/01/1997 12:00:00 AM,,,Voluntary,Voluntary,Voluntary,Voluntary,,Voluntary,,Voluntary,Voluntary,Voluntary,Other,"Maximus Health Services, Inc.","Clients are passively enrolled with 90 days to opt-out after enrollment. Each year, clients are given notice 60 days prior to the first day of their birth month that they can disenroll.",X,,X,,,X,X,X,X,X,X,,X,,,X,X,,,X,,,,,,,,Durable medical equipment,Yes,Yes,No,,"Health Services Advisory Group, Inc.",,,,,,Denver Health Medicaid Choice,Denver Health Medicaid Choice is contracted and operates under RAE 5 (Colorado Access) of the Accountable Care Collaborative program.,CO
Accountable Care Collaborative: Rocky Mountain Health Plans Prime,Comprehensive MCO,"Garfield, Gunnison, Mesa, Montrose, Pitkin, Rio Blanco Counties",1932(a),09/01/2014 12:00:00 AM,,,Mandatory,Mandatory,Mandatory,,,Mandatory,,,Voluntary,Voluntary,Other,"Maximus Health Services, Inc.","Clients are passively enrolled with 90 days to opt-out after enrollment.  Each year, clients are given notice 60 days prior to the first day of their birth month that they can disenroll.",X,,X,,,X,X,X,X,X,X,,X,,,X,X,,,X,,,,,,,,Durable medical equipment,Yes,Yes,No,,"Health Services Advisory Group, Inc.",X,,X,,X,Accountable Care Collaborative: Rocky Mountain Health Plans Prime,Rocky Mountain Health Plans Prime is contracted and operates under RAE 1 (Rocky Mountain Health Plans) of the Accountable Care Collaborative program.,CO
LogistiCare/Circulation Non-Emergency Medical Transportation,Non-Emergency Medical Transportation,Statewide,1902(a)(70) NEMT,07/01/2002 12:00:00 AM,,,Mandatory,Mandatory,Mandatory,Mandatory,,Mandatory,,Mandatory,Exempt,Mandatory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,No,No,No,,,,,,,,LogistiCare/Circulation Non-Emergency Medical Transportation,,DE
Diamond State Health Plan,Comprehensive MCO + MLTSS,Statewide,1115(a) (Medicaid demonstration waivers),01/01/1996 12:00:00 AM,07/31/2019 12:00:00 AM,,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,,Mandatory,Mandatory,Mandatory,Pre-assigned,DXC Technology,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,,,X,X,X,,X,X,,X,"Freestanding birth centers, home-delivered meals, emergency response system, home modifications",Yes,Yes,Yes,NCQA,Mercer Government Human Services Consulting,X,,X,,X,Highmark Health Options of Delaware; AmeriHealth Caritas of Delaware,AmeriHealth Caritas contract began on 1/1/2018.,DE
Saint Francis Life,Program of All-inclusive Care for the Elderly (PACE),New Castle County,PACE,02/01/2013 12:00:00 AM,,,,,Voluntary,,,Voluntary,,,Voluntary,Exempt,N/A,DXC Technology,,X,X,X,X,X,X,X,X,X,X,X,X,,X,,X,X,X,X,X,X,X,X,X,X,X,X,,Yes,Yes,"No, but accreditation considered in plan selection criteria",,,,,,,,Saint Francis Life,,DE
DC Healthy Families,Comprehensive MCO,Statewide,"1932(a),1945 Health Homes",04/01/1994 12:00:00 AM,,,Mandatory,Mandatory,Voluntary,Mandatory,,Voluntary,,,Mandatory,Exempt,30 days,Maximus,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,X,X,X,Freestanding birth centers,Yes,Yes,Yes,NCQA,Qlarant,X,,X,X,X,AmeriHealth Caritas District of Columbia; Amerigroup District of Columbia; Trusted Health Plan,Full duals are eligible for enrollment if there is a Medicaid-enrolled dependent child in the household. Nursing facilities are covered by MCO for the first 30 consecutive days. DC Healthy Families was previously reported as the Medicaid Managed Care Program.,DE
Child and Adolescent Supplemental Security Income Program (CASSIP),Comprehensive MCO,Statewide,1915(a),01/01/1996 12:00:00 AM,,,,,Voluntary,,,Voluntary,,Voluntary,Voluntary,Voluntary,Other,,Enrollment is voluntary. All other beneficiaries stay in fee-for-service.,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,Freestanding birth centers,Yes,Yes,No,,,,,,,,Health Services for Children with Special Needs,"Aged, blind, or disabled children and adults are eligible up to the age of 26. CASSIP was previously reported as Health Services for Children with Special Needs.",DE
Non-Emergency Medical Transportation (NEMT),Non-Emergency Medical Transportation,Statewide,1902(a)(70) NEMT,10/01/2007 12:00:00 AM,,,,,Mandatory,,Mandatory,Mandatory,,Mandatory,Exempt,Mandatory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,No,No,No,,,,,,,,"Medical Transportation Management, Inc.",The DC Department of Health Care Finance pays for non-emergency medical transportation only for its fee-for-service members. Non-emergency medical transportation for managed care members is paid by the District's Medicaid managed care organizations for low-income adults and children.,DE
